long,lat
42.19412,70.83582
42.19441,70.84332
42.19635,70.85693
42.20385,70.88136
42.20635,70.88693
42.21774,70.90776
42.2508,70.96693
42.25467,70.97081
42.25858,70.97582
42.29636,71.02777
42.30163,71.03859
42.30524,71.05109
42.30468,71.05914
42.30274,71.06722
42.29775,71.08055
42.28413,71.1122
42.28108,71.11804
42.27413,71.1272
42.27107,71.13275
42.24969,71.17249
42.22246,71.2236
42.21413,71.2397
42.20663,71.26
42.20468,71.26776
42.20413,71.27609
42.19551,71.27638
42.18885,71.27443
42.17885,71.26776
42.17024,71.25972
42.14191,71.22249
42.04441,70.98692
42.0408,70.97499
42.03857,70.9536
42.04052,70.93665
42.04469,70.92082
42.04663,70.90387
42.04358,70.88333
42.03996,70.87109
42.03663,70.86665
42.03218,70.86249
42.02302,70.85526
42.01636,70.85332
41.98524,70.84915
41.97413,70.84972
41.96941,70.8522
41.95358,70.85498
41.94135,70.85332
41.9344,70.85138
41.92941,70.84833
41.92524,70.84415
41.92246,70.83888
41.9208,70.83276
41.91357,70.78526
41.9119,70.75583
41.91274,70.74776
41.91246,70.70972
41.91052,70.69609
41.90496,70.68526
41.80357,70.53554
41.79663,70.52609
41.78802,70.51833
41.78302,70.515
41.75414,70.50333
41.74719,70.50139
41.73635,70.49553
41.72774,70.48776
41.71996,70.47916
41.71302,70.46999
41.6333,70.30859
41.62496,70.28526
41.61219,70.24275
41.60275,70.21277
41.59469,70.19664
41.58775,70.18749
41.57747,70.18109
41.55302,70.17804
41.54719,70.17831
41.53635,70.18027
41.52829,70.1872
41.52496,70.19165
41.51885,70.20305
41.5169,70.21082
41.51579,70.21971
41.51468,70.26639
41.51551,70.28859
41.51496,70.29694
41.51079,70.32332
41.50552,70.34776
41.50163,70.36331
41.4969,70.37665
41.48245,70.40582
41.47301,70.42165
41.46523,70.4297
41.45329,70.44026
41.41217,70.47415
41.41106,70.48109
41.41051,70.49664
41.41634,70.52222
41.4219,70.54027
41.44079,70.59248
41.44717,70.60971
41.4544,70.62637
41.46384,70.64194
41.4744,70.66332
41.47634,70.66943
41.47829,70.68276
41.47634,70.69971
41.47426,70.70775
41.46717,70.71666
41.46329,70.71999
41.40245,70.76666
41.39385,70.77249
41.38051,70.78082
41.35746,70.79276
41.35246,70.79414
41.34051,70.79443
41.32134,70.79082
41.2505,70.81331
41.20356,70.98831
41.16106,71.15694
41.18217,71.20248
41.18994,71.21111
41.19244,71.21639
41.19522,71.22916
41.19634,71.24332
41.19495,71.25194
41.19189,71.25749
41.1255,71.39722
41.11994,71.40942
41.11855,71.41805
41.12022,71.43137
41.12466,71.43553
41.13717,71.43997
41.14912,71.44081
41.19578,71.4422
41.23023,71.4422
41.25745,71.43915
41.32967,71.43442
41.3355,71.43442
41.34883,71.43803
41.35384,71.44165
41.35245,71.45027
41.34634,71.46138
41.31912,71.50055
41.31717,71.5036
41.30217,71.54332
41.30078,71.55026
41.29939,71.55914
41.3005,71.57332
41.303,71.5786
41.31912,71.60359
41.33106,71.61638
41.33606,71.61971
41.39134,71.64888
41.40328,71.65416
41.42272,71.65915
41.42883,71.65999
41.44078,71.66081
41.45161,71.65942
41.46078,71.65471
41.468,71.64583
41.47105,71.64027
41.478,71.63109
41.4905,71.62082
41.50079,71.61832
41.50745,71.62053
41.553,71.64137
41.55634,71.6461
41.55717,71.65277
41.55772,71.68248
41.55634,71.69136
41.55328,71.69693
41.36217,71.86331
41.33328,71.88721
41.32884,71.88944
41.30244,71.89444
41.28106,71.89722
41.26856,71.89526
41.24912,71.89027
41.243,71.88944
41.20328,71.88777
41.198,71.88889
41.19439,71.89333
41.18938,71.90637
41.18745,71.91415
41.18661,71.92221
41.19356,72.10637
41.19689,72.1111
41.20189,72.12192
41.20467,72.14221
41.20495,72.14943
41.20161,72.16693
41.19911,72.1736
41.19605,72.17915
41.19244,72.18359
41.18327,72.18803
41.05994,72.21666
41.05411,72.21666
41.048,72.21582
41.04133,72.21361
41.0355,72.21111
